,,,,,,,1 Month 4/1/2024 thru 4/30/2024,1 Month 5/1/2024 thru 5/31/2024,1 Month 6/1/2024 thru 6/30/2024,1 Month 7/1/2024 thru 7/31/2024,1 Month 8/1/2024 thru 8/31/2024,1 Month 9/1/2024 thru 9/30/2024,1 Month 10/1/2024 thru 10/31/2024,1 Month 11/1/2024 thru 11/30/2024,1 Month 12/1/2024 thru 12/31/2024,1 Month 1/1/2025 thru 1/31/2025,1 Month 2/1/2025 thru 2/28/2025,1 Month 3/1/2025 thru 3/31/2025,12 Months 4/1/2024 thru 3/31/2025,Diff,,,,,,,,,,,,,,,,
Classes of Trade,OnOff Premises,Retail Accounts,Address,City,State,Zip Code,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,,,,,,,,,,,,,,,,
RESTAURANT,ON,LE BILBOQUET,299 SAINT PAUL STREET,DENVER,CO,80206,0,0,0,0,0,0,0,0,0,0,1,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,BONNELL S FINE TEXAS CUISINE,4259 BRYANT IRVIN ROAD,FORT WORTH,TX,76109,0,0,0,0,0,0,0,0,0,0,1,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,NORTH,7501 WINDROSE AVENUE SUITE D190,PLANO,TX,75024,0,0,0,0,0,0,0,0,0,0,1,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,KOSEN,307 W PALM AVE,TAMPA,FL,33602,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Basils Restaurant & Bar,2985 Grandview Ave,Atlanta,GA,30305,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Oakhurst Market,650 E Lake Dr Ste A,Decatur,GA,30030,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,CRESCENT BISTRO,45 CRESCENT DR #11 C,PLEASANT HILL,CA,94523,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,MISOHAPPY LLC,504 SOUTHARD ST,KEY WEST,FL,33040,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Fukuro Bar and Sushi,5100 Washington Road,Evans,GA,30809,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,BAD KITTY LOUNGE,227 BRIDGE STREET C,VAIL,CO,81657,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,BASIL & MINT VIETNAMESE CAFE,350 N LANTANA ST  STE 7,CAMARILLO,CA,93010,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,THE BINDERY  LTD,1817 CENTRAL STREET,DENVER,CO,80211,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,ALL DAY BABY,3200 W SUNSET BL,LOS ANGELES,CA,90026,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,KEI,191 195 7TH AVE,NEW YORK,NY,10011,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,PALATE,1301 S MAIN ST #110,LAS VEGAS,NV,89104,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Umbrella Bar,675 Ponce De Leon Ave NE,Atlanta,GA,30308,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,NATIVE SON ALEHOUSE,305 E 4TH ST #200,SANTA ANA,CA,92701,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,HEALTHY JUNK PACKING HOUSE,440 S ANAHEIM BLVD UNIT 209B,ANAHEIM,CA,92805,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,PUB AT DONNER LAKE THE,15963 S SHORE DR,TRUCKEE,CA,96161,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,BARCHA,425 MARKET ST,SAN FRANCISCO,CA,94105,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,SUSHIHANA JAPANESE RESTAURANT,1810 NW MILITARY,CASTLE HILLS,TX,78213,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,SMITH & MILLS,10 W 50TH ST,NEW YORK,NY,10020,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,AYA SUSHI,5407 BELLAIRE BLVD STE A,BELLAIRE,TX,77401,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,HUSH KELLER INC,211 S MAIN ST,KELLER,TX,76248,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,JACKSON S BAR & OVEN,135 4TH ST STE #A,SANTA ROSA,CA,95401,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,RED GRILL MEXICAN RESTAURANT,1701 2ND AVE,NEW YORK,NY,10128,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,WILFRED S LOUNGE,967 1ST ST,NAPA,CA,94559,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,MATHESON  THE,106 MATHESON ST,HEALDSBURG,CA,95448,0,0,1,1,1,1,1,1,0,0,1,0, 7 , 7 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,KAORI MIAMI,871 S MIAMI AVE,MIAMI,FL,33130,0,0,1,0,0,0,0,0,0,0,1,0, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,TUTTI MANGIA GRILL,102 HARVARD AV,CLAREMONT,CA,91711,0,0,1,0,0,0,0,0,0,0,1,0, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,ABSINTHE BRASSERIE & BAR,388 & 394 & 398 HAYES ST,SAN FRANCISCO,CA,94102,0,0,1,0,0,0,0,0,0,0,1,0, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,HATCH YAKITORI,700 W 7TH ST  STE G600,LOS ANGELES,CA,90017,0,0,1,0,0,0,0,0,0,0,1,0, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,BOB S STEAK AND CHOP HOUSE,5815 RIM PASS DR,SAN ANTONIO,TX,78257,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,SANDBAR & GRILL,MUNICIPAL WHARF #2,MONTEREY,CA,93940,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,NATIVO,5137 YORK BLVD,LOS ANGELES,CA,90042,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,EMPRESS M LLC,221 SILVERADO TRAIL,NAPA,CA,94559,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,LAVA TUBE WAIKIKI INC,2280 KUHIO AVE,HONOLULU,HI,96815,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,ST JAMES GATE,1410 OLD COUNTY RD,BELMONT,CA,94002,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,BASILICO,6111 S BUFFALO DR STE 100,LAS VEGAS,NV,89113,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,SUSHI CHEF,3100 CORAL WAY,MIAMI,FL,33145,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,MOTHERTONGUE/MINA,960 N LA BREA AVE 4TH & 5TH FL,LOS ANGELES,CA,90038,0,0,0,0,0,1,0,1,0,0,1,0, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,VACATION,204 W 4TH ST,SANTA ANA,CA,92701,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,A RESTAURANT,3334 W COAST HWY,NEWPORT BEACH,CA,92663,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,NAPKINS BAR & GRILL,1001 2ND ST,NAPA,CA,94559,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,SIX TEST KITCHEN,3075 BLUE ROCK RD #B,PASO ROBLES,CA,93446,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,MARIGOLD CLUB,2531 KUESTER STREET,HOUSTON,TX,77006,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,CELLA RESTAURANT AND BAR,525 POLK STREET,MONTEREY,CA,93940,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,SLATE BISTRO & CRAFT BAR,4850 SANTA ROSA RD,CAMARILLO,CA,93012,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,GLASS BOX,12841 EL CAMINO REAL #203-211,SAN DIEGO,CA,92130,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,CAMPHOR,923 E 3RD ST #109,LOS ANGELES,CA,90013,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,CARPE DIEM,1001 2ND ST STE 185 & 165,NAPA,CA,94558,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,CARMEL RESTAURANT,7383 W MELROSE AV,LOS ANGELES,CA,90046,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,ANGELE,540 MAIN ST #B,NAPA,CA,94559,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,KRU CONTEMPORARY JAPANESE,3135 FOLSOM BLVD,SACRAMENTO,CA,95816,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,TEDDY WONGS AND BUSHI BUSHI MARKET,812 W ROSEDALE ST,FORT WORTH,TX,76104,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,AVIARY,712 K ST,SACRAMENTO,CA,95814,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,BASIL & WICKS,3195 STATE ROUTE 28,NORTH CREEK,NY,12853,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,FIDDLEHEAD BISTRO  THE,33 BROADWAY,SARANAC LAKE,NY,12983,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,AROI MAK MAK,344 ORANGE ST,REDLANDS,CA,92374,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,URBAN ROOTS BREWING,1409 R ST STE #102,SACRAMENTO,CA,95814,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,ZIZIKI S,4514 TRAVIS ST SUITE 122,DALLAS,TX,75205,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,SANTA FE STEAKHOUSE,1918 S. 10TH STREET,MCALLEN,TX,78503,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,ASCEND PRIME STEAK AND SUSHI,10400 NE 4TH STREET STE 3100,BELLEVUE,WA,98004,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,SENS,4 EMBARCADERO CTR POD,SAN FRANCISCO,CA,94111,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,AKASHI SUSHI FUSION CUISINE,416 9550 Spring Green Boulevard,KATY,TX,77494,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,RISTORANTE LA TOSCANA,3751 REDWOOD HWY,SAN RAFAEL,CA,94903,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,RESTAURANT SUSHI  SASA,2401 15TH STREET STE 80,DENVER,CO,80202,0,0,0,0,0,0,0,0,4,1,1,0, 6 , 6 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,CHEESECAKE FACTORY-RM,71800 HWY 111 #D-101,RANCHO MIRAGE,CA,92270,0,0,0,0,0,0,0,1,1,0,1,0, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,PEARL DRAGON,15229 SUNSET BL,PACIFIC PALISADES,CA,90272,0,0,0,0,1,-1,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,GOLDEN TIKI,3939 SPRING MTN RD,LAS VEGAS,NV,89102,0,0,0,0,2,2,4,4,5,5,7,8, 37 ,37,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,TAO DOWNTOWN,369 WEST 16 ST,NEW YORK,NY,10011,0,0,16,0,0,0,0,0,3,0,0,0, 19 ,19,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,HOOCH,301 E HOPKINS AVE SUITE 102,ASPEN,CO,81611,0,0,1,0,0,0,0,0,15,0,0,0, 16 ,16,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,DRIFTWOOD DOWNTOWN,319 COLORADO STREET,AUSTIN,TX,78701,0,0,0,0,0,0,15,0,0,0,0,0, 15 ,15,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,MAISON MURA,333 SE 3RD AVENUE,MIAMI,FL,33131,0,0,0,0,2,6,2,1,3,0,0,0, 14 ,14,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,ONEELEVEN HIFI LLC,119 INGRAHAM ST,BROOKLYN,NY,11237,0,0,0,0,0,0,0,0,4,2,2,4, 12 ,12,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,APOTHEKE,1141 BROADWAY,NEW YORK,NY,10001,0,0,0,0,0,1,0,2,0,2,5,0, 10 ,10,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,OYSTER HOUSE,12446 MOORPARK ST,STUDIO CITY,CA,91604,0,0,1,0,0,2,2,2,2,0,0,0, 9 ,9,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,LAST RITES,718 14TH ST,SAN FRANCISCO,CA,94114,0,0,0,5,0,0,0,3,0,0,0,0, 8 ,8,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,ZUMA,1 DALTON ST,BOSTON,MA,02199,0,0,0,0,0,0,0,0,0,0,0,8, 8 ,8,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,LA COMPAGNIE WINE BAR/EXPERIME,6 WEST 24TH ST,NEW YORK,NY,10010,0,0,0,0,0,0,0,4,0,2,0,2, 8 ,8,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,FOLKLORE,1226 3RD STREET,NAPA,CA,94559,0,1,0,0,1,2,1,0,1,1,1,0, 7 ,7,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,REGIIS OVA,6480 WASHINGTON ST,YOUNTVILLE,CA,94599,0,0,0,0,0,0,2,0,2,0,2,0, 6 ,6,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,LE BAR A VIN    (ON),380 SOUTH COUNTY ROAD,PALM BEACH,FL,33480,0,0,0,0,0,0,0,0,1,4,0,0, 5 ,5,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,BELLY UP ASPEN,450 S GALENA ST  #2,ASPEN,CO,81611,0,0,0,0,0,0,0,0,4,0,0,0, 4 ,4,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,KEG N BOTTLE 5,6380 DEL CERRO BL,SAN DIEGO,CA,92120,0,0,0,0,0,0,0,0,0,0,0,4, 4 ,4,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,LITTLE MORE,111 READE ST,NEW YORK,NY,10013,0,0,0,0,0,0,0,0,1,0,1,1, 3 ,3,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,MARTINI BAR,3450 NW 83 AVENUE,MIAMI,FL,33122,3,0,0,0,0,0,0,0,0,0,0,0, 3 ,3,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,BANDITS,44 BEDFORD ST,NEW YORK,NY,10014,0,0,0,0,0,0,0,0,0,3,0,0, 3 ,3,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,CHESTNUT CLUB,1348 14TH ST,SANTA MONICA,CA,90404,0,0,0,0,0,0,0,0,1,1,1,0, 3 ,3,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,RUN FOR THE ROSES,1801 BLAKE ST STE 10,DENVER,CO,80202,0,0,0,0,0,0,0,0,0,0,0,3, 3 ,3,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,COOL CULINARY LLC,119 ESSEX ST,NEW YORK,NY,10002,0,0,0,0,3,0,0,0,0,0,0,0, 3 ,3,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,OUTER HEAVEN,191 CHRYSTIE ST,NEW YORK,NY,10002,0,0,0,0,0,0,0,0,0,0,2,0, 2 ,2,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,HURRICA RESTAURANT & BAR,150 NORTHPOINT CT,REDWOOD CITY,CA,94063,0,0,0,0,0,0,0,0,0,0,2,0, 2 ,2,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,URBAN SMOKE,3913 RICHMOND AVE,HOUSTON,TX,77027,0,0,0,0,0,0,0,0,0,0,0,2, 2 ,2,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,SAKE SECRET,460 PINE AVE,LONG BEACH,CA,90802,0,0,0,0,0,0,0,0,0,2,0,0, 2 ,2,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,VERDUGO,3408 VERDUGO RD,LOS ANGELES,CA,90065,0,0,0,0,0,0,0,0,1,0,1,0, 2 ,2,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,SPOON BAR,219 HEALDSBURG AVE,HEALDSBURG,CA,95448,0,0,0,1,0,0,0,0,0,0,0,0, 2 ,2,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,MARTINE,647 SOUTH AVE,ROCHESTER,NY,14620,0,0,0,0,0,0,0,0,0,0,0,2, 2 ,2,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,JONES,620 JONES STREET,SAN FRANCISCO,CA,94102,0,0,0,0,0,0,0,0,0,0,0,2, 2 ,2,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,SHOYU RESTAURANT AND BAR,38-40 PARK ST,ANDOVER,MA,01810,0,0,0,0,0,0,0,0,0,0,0,2, 2 ,2,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,GOLDEN HOUR SOCIAL CLUB,3282 NORTH TEJON ST SUITE 102,DENVER,CO,80211,0,0,0,0,0,0,0,0,0,0,0,2, 2 ,2,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,LITTLE HOKKAIDO,1504 G ST,ARCATA,CA,95521,0,0,0,0,0,1,1,0,0,0,0,0, 2 ,2,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,CLOVER CLUB,210 SMITH ST,BROOKLYN,NY,11201,0,1,1,1,1,1,0,0,0,0,0,0, 5 ,5,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,SOCO SOCIAL HOUSE,209 1/2 COLORADO AVENUE,GRAND JUNCTION,CO,81501,0,0,0,0,0,0,0,0,0,0,1,1, 2 ,2,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,MILADY S,160 PRINCE ST,NEW YORK,NY,10012,0,0,1,0,0,0,0,0,0,0,0,0, 1 ,1,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,NEIGHBORHOOD WINE,1257 W MAGNOLIA AVE,FORT WORTH,TX,76104,0,0,0,0,0,0,0,0,0,0,0,1, 1 ,1,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,BAR SNACK,92 2ND AVE,NEW YORK,NY,10003,0,0,0,0,0,0,0,0,0,0,0,1, 1 ,1,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,VINOS ON LAS OLAS,901 E LAS OLAS BLVD SUITE 103,FORT LAUDERDALE,FL,33301,0,0,0,0,0,1,0,0,0,0,0,0, 1 ,1,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,JACK S,167 E TAYLOR ST,SAN JOSE,CA,95112,0,0,0,0,0,0,0,0,0,0,0,1, 1 ,1,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,STARBOARD TACK,2601 ATLANTIC ST,LAS VEGAS,NV,89121,0,0,0,0,0,0,0,0,0,0,0,1, 1 ,1,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,FRENCHIES BAR,3476 2ND AVE.  NORTH,PALM SPRINGS,FL,33461,0,0,0,0,0,0,0,0,0,1,0,0, 1 ,1,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,NICKEL CITY,1133 E 11TH STREET,AUSTIN,TX,78702,0,0,0,0,0,0,1,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,SPACE BISTRO,323 UNION ST,ROCKLAND,MA,02370,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,MR B S TAVERN,5201 GEORGIA AVE,WEST PALM BEACH,FL,33405,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,MOG ASU WINE BAR,1 BLACKFIELD DR STE 14,TIBURON,CA,94920,0,0,0,0,0,0,0,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,SPACE KARAOKE,34 W 32ND ST,NEW YORK,NY,10001,0,0,0,0,0,0,0,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,PICCALILLI,3850 MAIN ST #A,CULVER CITY,CA,90232,0,0,0,0,0,0,1,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,CLARK S OYSTER BAR,1200 W 6TH STREET SUITE A,AUSTIN,TX,78703,0,0,0,0,0,0,0,0,1,0,0,0,1,1,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,MURRAYS TAVERN B,2316 WEBBERVILLE RD,AUSTIN,TX,78702,0,0,0,0,0,0,1,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,COPPER & MALT - ON PREMISE,5659 BAY ST,EMERYVILLE,CA,94608,0,0,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,DANTE S HIFI,519 NW 26 STREET,MIAMI,FL,33127,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,ARBARETUM AT NAPA VLLY DISTILL,1149 1ST STREET,NAPA,CA,94559,0,0,0,0,0,0,0,0,0,1,0,0,1,1,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,SHOJOS DOJO INC,4233 SW 75 AVE,MIAMI,FL,33155,0,0,0,0,0,0,0,0,0,1,0,0,1,1,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,ITTOKU,1815 MASSACHUSETTS AVE,CAMBRIDGE,MA,02140,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,NIGHT ON EARTH,3256 CAHUENGA BLVD W,LOS ANGELES,CA,90068,0,0,0,0,0,0,0,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,DJONS VILLAGE MRKT&ROOFTOP(ON),249 5TH AVENUE,INDIALANTIC,FL,32903,0,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,8 EIGHTY EIGHT,118 W WILSHIRE AV,FULLERTON,CA,92832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,WICKED WOLF THE,2332 PACIFIC AVE,LONG BEACH,CA,90806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,LOUIE S,55 STEVENSON ST,SAN FRANCISCO,CA,94105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,BROKEN COMPASS TIKI,2013 W BURBANK BLVD,BURBANK,CA,91506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,RELENTLESS BREWING AND SPIRITS,2133 COLORADO BLVD,LOS ANGELES,CA,90041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,BLIND RABBIT,440 S ANAHEIM BLVD  UNIT 104,ANAHEIM,CA,92805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,LA FINA,27 MAIN ST,ANDOVER,MA,01810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,LAST DROP TAVERN,550 POWELL ST,SAN FRANCISCO,CA,94108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,MONKS CELLAR,240 VERNON STREET,ROSEVILLE,CA,95678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,NAPA CIGARS,1147 1ST ST,NAPA,CA,94559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,NATIVE SON RC,8443 HAVEN AVE #189,RANCHO CUCAMONGA,CA,91730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
BAR/TAVERN,ON,SUMMER PLACE THE,801 BUSH ST,SAN FRANCISCO,CA,94108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
